id;hotel_name;departure_destinations;arrival_destination;room_types;board;type_of_transport
58;Hotel BG Pamplona;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Hiszpania / Majorka / Can Pastilla;Pokój,Junior Suite;2 posiłki;
59;Hotel Aldemar Royal Olympian;Warszawa;Grecja / Peloponez / Skafidia;Pokój,Suite;All inclusive premium;
60;Hotel Estalagem do Mar;Katowice,Poznań,Warszawa,Wrocław;Madera / Sao Vicente;Pokój;2 posiłki,Half board plus;
61;Hotel 4R Gran Europe;Katowice,Warszawa,Wrocław;Hiszpania / Costa Dorada / Coma-ruga;Pokój;2 posiłki,All inclusive;
62;Hotel Abora Interclub Atlantic;Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Gran Canaria / San Agustin;Pokój,Pokój rodzinny,Suite;All inclusive 24h;
63;Hotel VIK Gran Costa Del Sol;Katowice,Warszawa;Hiszpania / Costa del Sol / Cala De Mijas;Pokój comfort,Pokój;2 posiłki,All inclusive;
64;Hotel VidaMar Resort Algarve;Katowice,Warszawa;Portugalia / Algarve / Salgados;Pokój;2 posiłki;
65;Hotel Meliá Sunny Beach;Dojazd własny,Katowice,Poznań,Warszawa,Wrocław;Bułgaria / Słoneczny Brzeg;Pokój,Pokój rodzinny;All inclusive;
66;Hotel Azure Resort & Spa;Katowice,Poznań,Rzeszów,Warszawa,Wrocław;Grecja / Zakynthos / Planos;Pokój;All inclusive;
67;Santo Miramare Resort;Gdańsk,Kraków,Warszawa;Grecja / Santorini / Agios Georgios;Pokój rodzinny,Studio;Śniadania,2 posiłki;
68;Hotel Flower Garden;Dojazd własny;Albania / Durres / Golem;Pokój; All inclusive premium;
69;Hotel Cabanas Golden Club;Katowice,Warszawa;Portugalia / Algarve / Cabanas;Apartament rodzinny,Studio;All inclusive;
70;Hotel Andon Lapa;Dojazd własny,Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Albania / Saranda;Pokój,Suite;All inclusive;
71;Hotel Palma;Dojazd własny,Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Albania / Saranda;Pokój;2 posiłki;
72;Hotel Flora Garden Ephesus;Katowice,Warszawa;Turcja / Kusadasi;Pokój;All inclusive;
73;Hotel Porto Evia Boutique;Dojazd własny;Grecja / Evia / Eretria;Pokój superior,Pokój;Bez wyżywienia,Śniadania,2 posiłki;
74;Hotel King Evelthon Beach & Resort;Gdańsk,Katowice,Kraków,Warszawa - Modlin,Wrocław;Cypr / Pafos;Pokój,Pokój rodzinny,Junior Suite;All inclusive;
75;Hotel Mistral Mare;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Kreta / Istro;Pokój,Pokój superior;All inclusive;
76;Hotel Calypso;Gdańsk,Katowice,Kraków,Poznań,Warszawa,Warszawa - Modlin,Wrocław;Malta / Wyspa Gozo / Marsalforn;Pokój;Śniadania,2 posiłki;
77;Hotel Odysee Resort;Katowice,Poznań,Warszawa,Wrocław;Tunezja / Djerba / Dżardżis;Pokój,Pokój rodzinny;All inclusive;
78;Apartamentos THe Morromar;Katowice,Warszawa,Wrocław;Wyspy Kanaryjskie / Lanzarote / Puerto Del Carmen;Apartament;All inclusive;
79;Hotel Costa Verde;Katowice,Warszawa;Włochy / Sycylia / Cefalu;Pokój;2 posiłki,All inclusive soft,All inclusive;
80;Hotel Mogan Princess & Beach Club;Katowice,Poznań,Warszawa,Wrocław;Wyspy Kanaryjskie / Gran Canaria / Playa De Taurito;Pokój,Pokój rodzinny;All inclusive;
81;Hotel Messonghi Beach Holiday Resort;Gdańsk,Katowice,Poznań,Warszawa,Wrocław;Grecja / Korfu / Moraitika;Pokój; All inclusive;
82;Hotel Best Western Galaxy;Katowice,Poznań,Rzeszów,Warszawa,Wrocław;Grecja / Zakynthos / Laganas;Pokój;All inclusive;
83;Hotel Residence Le Playe;Katowice,Warszawa,Wrocław;Włochy / Kalabria / Tropea;Pokój;2 posiłki;
84;Hotel Veronica;Gdańsk,Katowice,Kraków,Warszawa - Modlin,Wrocław;Cypr / Pafos;Pokój;Full board plus;
85;Hotel Pelagos Zante;Katowice,Poznań,Rzeszów,Warszawa,Wrocław;Grecja / Zakynthos / Tragaki;Pokój,Pokój rodzinny;All inclusive;
86;Hotel Golden Coast Family Resort;Katowice,Poznań,Rzeszów,Warszawa,Wrocław;Grecja / Zakynthos / Drosia;Pokój,Pokój swim up,Pokój rodzinny,Junior Suite;All inclusive;
